,day,open,high,low,close
400,20190819,"1,936.64","1,943.09","1,931.44","1,939.90"
401,20190816,"1,921.49","1,927.70","1,911.72","1,927.17"
402,20190814,"1,946.18","1,952.22","1,937.23","1,938.37"
403,20190813,"1,928.76","1,937.68","1,923.58","1,925.83"
404,20190812,"1,941.53","1,949.19","1,933.25","1,942.29"
405,20190809,"1,940.06","1,946.94","1,936.14","1,937.75"
406,20190808,"1,926.28","1,937.95","1,915.81","1,920.61"
407,20190807,"1,925.33","1,929.29","1,901.61","1,909.71"
408,20190806,"1,900.36","1,948.53","1,891.81","1,917.50"
409,20190805,"1,985.93","1,987.64","1,945.39","1,946.98"
410,20190802,"1,995.31","2,005.31","1,987.12","1,998.13"
411,20190801,"2,015.09","2,032.23","2,009.33","2,017.34"
412,20190731,"2,036.46","2,041.16","2,010.95","2,024.55"
413,20190730,"2,035.32","2,044.59","2,032.61","2,038.68"
414,20190729,"2,059.13","2,063.13","2,025.01","2,029.48"
415,20190726,"2,063.35","2,068.16","2,054.64","2,066.26"
416,20190725,"2,085.67","2,088.81","2,061.08","2,074.48"
417,20190724,"2,097.16","2,105.68","2,080.66","2,082.30"
418,20190723,"2,095.76","2,106.39","2,095.38","2,101.45"
419,20190722,"2,090.35","2,099.34","2,087.51","2,093.34"
420,20190719,"2,080.21","2,096.73","2,076.51","2,094.36"
421,20190718,"2,068.66","2,073.20","2,061.33","2,066.55"
422,20190717,"2,079.91","2,080.01","2,063.49","2,072.92"
423,20190716,"2,084.46","2,096.67","2,078.74","2,091.87"
424,20190715,"2,083.39","2,088.34","2,073.10","2,082.48"
425,20190712,"2,083.53","2,090.43","2,077.35","2,086.66"
426,20190711,"2,070.59","2,088.24","2,070.21","2,080.58"
427,20190710,"2,061.55","2,068.20","2,056.48","2,058.78"
428,20190709,"2,070.35","2,075.30","2,052.03","2,052.03"
429,20190708,"2,091.91","2,092.54","2,063.78","2,064.17"
430,20190705,"2,111.00","2,115.43","2,096.23","2,110.59"
431,20190704,"2,102.36","2,108.80","2,088.97","2,108.73"
